form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,source,page,language_id
mizo171,ei,1.sg.3.pl.nfut.aff,kà éi,kà Σ,kà+Σ,k a ¹ Σ,k a ¹ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo172,mu,1.sg.3.pl.nfut.aff,ká m̥ù,ká Σ,ká+Σ,k a ⁵ Σ,k a ⁵ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo173,ei,1.pl.3.sg.nfut.aff,kàn éi,kàn Σ,kà+n+Σ,k a ¹ n Σ,k a ¹ + n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo174,mu,1.pl.3.sg.nfut.aff,kǎn m̥ù,kǎn Σ,kǎ+n+Σ,k a ¹⁵ n Σ,k a ¹⁵ + n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo175,ei,1.pl.3.pl.nfut.aff,kàn éi,kàn Σ,kà+n+Σ,k a ¹ n Σ,k a ¹ + n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo176,mu,1.pl.3.pl.nfut.aff,kǎn m̥ù,kǎn Σ,kǎ+n+Σ,k a ¹⁵ n Σ,k a ¹⁵ + n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo177,kal,2.sg.nfut.aff,ì kál,ì Σ,ì+Σ,i ¹ Σ,i ¹ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo178,tʰo:,2.sg.nfut.aff,í tʰò:,í Σ,í+Σ,i ⁵ Σ,i ⁵ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo179,kal,2.pl.nfut.aff,ìn kál,ìn Σ,ì+n+Σ,i ¹ n Σ,i ¹ + n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo180,tʰo:,2.pl.nfut.aff,ǐn tʰò:,ǐn Σ,ǐ+n+Σ,i ¹⁵ n Σ,i ¹⁵ + n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo181,ei,2.sg.1.sg.nfut.aff,mì éi,mì Σ,mì+Σ,m i ¹ Σ,m i ¹ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo182,ei,2.sg.1.sg.nfut.aff,mìn éi,mìn Σ,mìn+Σ,m i ¹ n Σ,m i ¹ n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo183,mu,2.sg.1.sg.nfut.aff,mí m̥ù,mí Σ,mí+Σ,m i ⁵ Σ,m i ⁵ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo184,mu,2.sg.1.sg.nfut.aff,mǐn m̥ù,mǐn Σ,mǐn+Σ,m i ¹⁵ n Σ,m i ¹⁵ n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo185,ei,2.sg.1.pl.nfut.aff,mìn éi,mìn Σ,mìn+Σ,m i ¹ n Σ,m i ¹ n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo186,mu,2.sg.1.pl.nfut.aff,mǐn m̥ù,mǐn Σ,mǐn+Σ,m i ¹⁵ n Σ,m i ¹⁵ n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo187,ei,2.pl.1.sg.nfut.aff,mìn éi,mìn Σ,mìn+Σ,m i ¹ n Σ,m i ¹ n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo188,mu,2.pl.1.sg.nfut.aff,mǐn m̥ù,mǐn Σ,mǐn+Σ,m i ¹⁵ n Σ,m i ¹⁵ n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo189,ei,2.pl.1.pl.nfut.aff,mìn éi,mìn Σ,mìn+Σ,m i ¹ n Σ,m i ¹ n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo190,mu,2.pl.1.pl.nfut.aff,mǐn m̥ù,mǐn Σ,mǐn+Σ,m i ¹⁵ n Σ,m i ¹⁵ n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo191,ei,2.sg.3.sg.nfut.aff,ì éi,ì Σ,ì+Σ,i ¹ Σ,i ¹ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo192,mu,2.sg.3.sg.nfut.aff,í m̥ù,í Σ,í+Σ,i ⁵ Σ,i ⁵ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo193,ei,2.sg.3.pl.nfut.aff,ì éi,ì Σ,ì+Σ,i ¹ Σ,i ¹ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo194,mu,2.sg.3.pl.nfut.aff,í m̥ù,í Σ,í+Σ,i ⁵ Σ,i ⁵ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo195,ei,2.pl.3.sg.nfut.aff,ìn éi,ìn Σ,ì+n+Σ,i ¹ n Σ,i ¹ + n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo196,mu,2.pl.3.sg.nfut.aff,ǐn m̥ù,ǐn Σ,ǐ+n+Σ,i ¹⁵ n Σ,i ¹⁵ + n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo197,ei,2.pl.3.pl.nfut.aff,ìn éi,ìn Σ,ì+n+Σ,i ¹ n Σ,i ¹ + n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo198,mu,2.pl.3.pl.nfut.aff,ǐn m̥ù,ǐn Σ,ǐ+n+Σ,i ¹⁵ n Σ,i ¹⁵ + n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo199,kal,3.sg.nfut.aff,à kál,à Σ,à+Σ,a ¹ Σ,a ¹ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo200,tʰo:,3.sg.nfut.aff,á tʰò:,á Σ,á+Σ,a ⁵ Σ,a ⁵ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo201,kal,3.pl.nfut.aff,àn kál,àn Σ,à+n+Σ,a ¹ n Σ,a ¹ + n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo202,tʰo:,3.pl.nfut.aff,ǎn tʰò:,ǎn Σ,ǎ+n+Σ,a ¹⁵ n Σ,a ¹⁵ + n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo203,ei,3.sg.1.sg.nfut.aff,mì éi,mì Σ,mì+Σ,m i ¹ Σ,m i ¹ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo204,ei,3.sg.1.sg.nfut.aff,mìn éi,mìn Σ,mìn+Σ,m i ¹ n Σ,m i ¹ n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo205,mu,3.sg.1.sg.nfut.aff,mí m̥ù,mí Σ,mí+Σ,m i ⁵ Σ,m i ⁵ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo206,mu,3.sg.1.sg.nfut.aff,mǐn m̥ù,mǐn Σ,mǐn+Σ,m i ¹⁵ n Σ,m i ¹⁵ n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo207,ei,3.sg.1.pl.nfut.aff,mìn éi,mìn Σ,mìn+Σ,m i ¹ n Σ,m i ¹ n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo208,mu,3.sg.1.pl.nfut.aff,mǐn m̥ù,mǐn Σ,mǐn+Σ,m i ¹⁵ n Σ,m i ¹⁵ n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo209,ei,3.pl.1.sg.nfut.aff,mìn éi,mìn Σ,mìn+Σ,m i ¹ n Σ,m i ¹ n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo210,mu,3.pl.1.sg.nfut.aff,mǐn m̥ù,mǐn Σ,mǐn+Σ,m i ¹⁵ n Σ,m i ¹⁵ n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo211,ei,3.pl.1.pl.nfut.aff,mìn éi,mìn Σ,mìn+Σ,m i ¹ n Σ,m i ¹ n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo212,mu,3.pl.1.pl.nfut.aff,mǐn m̥ù,mǐn Σ,mǐn+Σ,m i ¹⁵ n Σ,m i ¹⁵ n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo213,ei,3.sg.2.sg.nfut.aff,à éi tsé,à Σ tsé,à+Σ+tsé,a ¹ Σ ts e ⁵,a ¹ + Σ + ts e ⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
